platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,dacfkmlnegfmibbeabdomhahgjoipoln,xion-wallet,XION Wallet,4.428571428571429,230,Xion Global,2020-09-24 00:00:00
chrome,gbjepgaebckfidagpfeioimheabiohmg,zeon-wallet,ZEON Wallet,5.0,53,ZEON Network,2020-05-27 00:00:00
chrome,kkilomkmpmkbdnfelcpgckmpcaemjcdh,celo-desktop-wallet,Celo-desktop-wallet,0.0,29,jiyun.kim,2020-09-17 00:00:00
chrome,ihdpgdlddojmmkaokmnfdcdlooialppg,sagewallet,SageWallet,0.0,3,sagecitydevs,2020-09-04 00:00:00
chrome,fpkhlnacfhciopipcjpcjmkpldbogaeo,crypto-price-tracker,Crypto Price Tracker,4.035714285714286,648,apostopher,2020-09-01 00:00:00
chrome,mogdapldllopbflceaceonkalaebghbe,bitcoin-crypto-news,Bitcoin Crypto News,0.0,107,oinkandstuff,2020-07-14 00:00:00
chrome,kjjlmgehohdbclcmfmphmifnppmcmeio,bitcoin-price,Bitcoin Price,4.166666666666667,486,shaomxing,2020-02-05 00:00:00
chrome,fbaljaifnljnpoppjfehljmephpghaip,crypto-stats,Crypto Stats,5.0,47,ValueApps,2020-04-14 00:00:00
chrome,onebfemgnhgpkdcmijbpjakhhidonjfl,coincorner-earn-bitcoin,CoinCorner - Earn Bitcoin,5.0,231,CoinCorner,2020-10-08 00:00:00
chrome,ohianjicfacccnnokflclpcojfiecaib,samourai-wallet,Samourai Wallet,0.0,0,Streetside Development,2020-11-21 00:00:00
chrome,cjfeohjffkdehdblcolicjhhnbphcmna,qiwallet,QiWallet,5.0,149,QiSwap,2020-09-27 00:00:00
chrome,eaahcidigckkchdbjaakmglkchnhabib,beyondcoin-wallet-extensi,Beyondcoin Wallet Extension,5.0,4,Beyondcoin,2020-08-06 00:00:00
